[16:56:54] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[16:56:57] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[16:56:57] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[16:56:57] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[16:56:57] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[16:56:57] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[16:56:57] [main/INFO]: Reloading ResourceManager: Default
[16:56:58] [Worker-Main-4/INFO]: Loaded 7 recipes
[16:57:00] [Worker-Main-4/INFO]: Loaded 927 advancements
[16:57:03] [Server thread/INFO]: Starting minecraft server version 1.16.4
[16:57:03] [Server thread/INFO]: Loading properties
[16:57:03] [Server thread/INFO]: Default game type: SURVIVAL
[16:57:03] [Server thread/INFO]: Generating keypair
[16:57:03] [Server thread/INFO]: Starting Minecraft server on *:25565
[16:57:03] [Server thread/INFO]: Using default channel type
[16:57:04] [Server thread/INFO]: Preparing level "world"
[16:57:32] [Worker-Main-5/INFO]: Preparing spawn area: 22%
[16:57:32] [Worker-Main-5/INFO]: Preparing spawn area: 22%
[16:57:33] [Worker-Main-6/INFO]: Preparing spawn area: 31%
[16:57:33] [Worker-Main-7/INFO]: Preparing spawn area: 31%
[16:57:34] [Worker-Main-6/INFO]: Preparing spawn area: 31%
[16:57:34] [Worker-Main-6/INFO]: Preparing spawn area: 31%
[16:57:35] [Worker-Main-6/INFO]: Preparing spawn area: 31%
[16:57:35] [Worker-Main-7/INFO]: Preparing spawn area: 39%
[16:57:36] [Worker-Main-7/INFO]: Preparing spawn area: 39%
[16:57:36] [Worker-Main-7/INFO]: Preparing spawn area: 39%
[16:57:37] [Worker-Main-7/INFO]: Preparing spawn area: 39%
[16:57:37] [Worker-Main-7/INFO]: Preparing spawn area: 39%
[16:57:38] [Worker-Main-6/INFO]: Preparing spawn area: 39%
[16:57:38] [Worker-Main-6/INFO]: Preparing spawn area: 39%
[16:57:39] [Worker-Main-6/INFO]: Preparing spawn area: 39%
[16:57:39] [Worker-Main-6/INFO]: Preparing spawn area: 54%
[16:57:40] [Worker-Main-7/INFO]: Preparing spawn area: 54%
[16:57:40] [Worker-Main-7/INFO]: Preparing spawn area: 54%
[16:57:41] [Worker-Main-7/INFO]: Preparing spawn area: 54%
[16:57:41] [Worker-Main-6/INFO]: Preparing spawn area: 54%
[16:57:42] [Worker-Main-6/INFO]: Preparing spawn area: 64%
[16:57:45] [Worker-Main-7/INFO]: Preparing spawn area: 64%
[16:57:45] [Worker-Main-7/INFO]: Preparing spawn area: 64%
[16:57:45] [Worker-Main-7/INFO]: Preparing spawn area: 64%
[16:57:45] [Worker-Main-6/INFO]: Preparing spawn area: 64%
[16:57:45] [Worker-Main-7/INFO]: Preparing spawn area: 64%
[16:57:45] [Worker-Main-7/INFO]: Preparing spawn area: 64%
[16:57:45] [Worker-Main-7/INFO]: Preparing spawn area: 64%
[16:57:49] [Worker-Main-7/INFO]: Preparing spawn area: 83%
[16:57:49] [Worker-Main-7/INFO]: Preparing spawn area: 83%
[16:57:49] [Worker-Main-5/INFO]: Preparing spawn area: 83%
[16:57:49] [Worker-Main-5/INFO]: Preparing spawn area: 83%
[16:57:49] [Worker-Main-5/INFO]: Preparing spawn area: 83%
[16:57:49] [Worker-Main-5/INFO]: Preparing spawn area: 83%
[16:57:49] [Worker-Main-7/INFO]: Preparing spawn area: 83%
[16:57:49] [Server thread/INFO]: Time elapsed: 31484 ms
[16:57:49] [Server thread/INFO]: Done (44.723s)! For help, type "help"
[16:57:54] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 4415ms or 88 ticks behind
